| module                    | #parameters or shape   | #flops     |
|:--------------------------|:-----------------------|:-----------|
| model                     | 0.791M                 | 0.172G     |
|  S_layer                  |  1.025K                |  4.274M    |
|   S_layer.layer_scale_1   |   (32,)                |            |
|   S_layer.layer_scale_2   |   (32,)                |            |
|   S_layer.norm            |   0.48K                |   0.403M   |
|    S_layer.norm.weight    |    (1, 12, 20)         |            |
|    S_layer.norm.bias      |    (1, 12, 20)         |            |
|   S_layer.layer           |   0.384K               |   1.29M    |
|    S_layer.layer.0        |    64                  |    1.29M   |
|    S_layer.layer.1        |    0.32K               |    0       |
|   S_layer.att.0           |   64                   |   1.29M    |
|    S_layer.att.0.weight   |    (32, 1, 1, 1)       |            |
|    S_layer.att.0.bias     |    (32,)               |            |
|   S_layer.final           |   33                   |   1.29M    |
|    S_layer.final.weight   |    (1, 32, 1, 1)       |            |
|    S_layer.final.bias     |    (1,)                |            |
|  T_layer                  |  0.79M                 |  0.167G    |
|   T_layer.layer_scale_1   |   (512,)               |            |
|   T_layer.layer_scale_2   |   (512,)               |            |
|   T_layer.norm            |   80.64K               |   0.202M   |
|    T_layer.norm.weight    |    (168, 12, 20)       |            |
|    T_layer.norm.bias      |    (168, 12, 20)       |            |
|   T_layer.initial         |   86.528K              |   20.644M  |
|    T_layer.initial.weight |    (512, 168, 1, 1)    |            |
|    T_layer.initial.bias   |    (512,)              |            |
|   T_layer.statical        |   0.273M               |   62.915M  |
|    T_layer.statical.0     |    5.12K               |    0       |
|    T_layer.statical.1     |    5.12K               |    0       |
|    T_layer.statical.2     |    0.263M              |    62.915M |
|   T_layer.dynamical       |   0.263M               |   63.037M  |
|    T_layer.dynamical.1    |    0.263M              |    62.915M |
|    T_layer.dynamical.0    |                        |    0.123M  |
|   T_layer.final           |   86.184K              |   20.644M  |
|    T_layer.final.weight   |    (168, 512, 1, 1)    |            |
|    T_layer.final.bias     |    (168,)              |            |
|  final                    |                        |  40.32K    |
Epoch 1 | Loss : 0.691250 | Time : 12.2854
Epoch 1 | Val Loss : 0.595446 | Time : 1.1106
Best model saved with loss 0.595446 at epoch 1
Epoch 2 | Loss : 0.682171 | Time : 8.9980
Epoch 2 | Val Loss : 0.587186 | Time : 1.1042
Best model saved with loss 0.587186 at epoch 2
Epoch 3 | Loss : 0.416423 | Time : 8.9689
Epoch 3 | Val Loss : 0.304575 | Time : 1.1024
Best model saved with loss 0.304575 at epoch 3
Epoch 4 | Loss : 0.310934 | Time : 8.9628
Epoch 4 | Val Loss : 0.195030 | Time : 1.1016
Best model saved with loss 0.195030 at epoch 4
Epoch 5 | Loss : 0.222105 | Time : 9.0320
Epoch 5 | Val Loss : 0.163141 | Time : 1.1033
Best model saved with loss 0.163141 at epoch 5
Epoch 6 | Loss : 0.185305 | Time : 8.9887
Epoch 6 | Val Loss : 0.134697 | Time : 1.1029
Best model saved with loss 0.134697 at epoch 6
Epoch 7 | Loss : 0.170962 | Time : 8.9853
Epoch 7 | Val Loss : 0.127826 | Time : 1.1027
Best model saved with loss 0.127826 at epoch 7
Epoch 8 | Loss : 0.162122 | Time : 8.9739
Epoch 8 | Val Loss : 0.126410 | Time : 1.1029
Best model saved with loss 0.126410 at epoch 8
Epoch 9 | Loss : 0.156513 | Time : 8.9785
Epoch 9 | Val Loss : 0.129067 | Time : 1.1017
Epoch 10 | Loss : 0.151697 | Time : 8.9703
Epoch 10 | Val Loss : 0.122711 | Time : 1.1048
Best model saved with loss 0.122711 at epoch 10
Epoch 11 | Loss : 0.148505 | Time : 8.9774
Epoch 11 | Val Loss : 0.126658 | Time : 1.1032
Epoch 12 | Loss : 0.145488 | Time : 8.9724
Epoch 12 | Val Loss : 0.127442 | Time : 1.1012
Epoch 13 | Loss : 0.142601 | Time : 8.9754
Epoch 13 | Val Loss : 0.123456 | Time : 1.1013
Epoch 14 | Loss : 0.139884 | Time : 8.9801
Epoch 14 | Val Loss : 0.132357 | Time : 1.1032
Epoch 15 | Loss : 0.137262 | Time : 8.9931
