| module                                            | #parameters or shape   | #flops     |
|:--------------------------------------------------|:-----------------------|:-----------|
| model                                             | 1.729M                 | 0.165G     |
|  model                                            |  1.722M                |  0.165G    |
|   model.0.conv                                    |   0.574M               |   55.05M   |
|    model.0.conv.0.kernels                         |    0.287M              |    27.525M |
|    model.0.conv.2.kernels                         |    0.287M              |    27.525M |
|   model.1.conv                                    |   0.574M               |   55.05M   |
|    model.1.conv.0.kernels                         |    0.287M              |    27.525M |
|    model.1.conv.2.kernels                         |    0.287M              |    27.525M |
|   model.2.conv                                    |   0.574M               |   55.05M   |
|    model.2.conv.0.kernels                         |    0.287M              |    27.525M |
|    model.2.conv.2.kernels                         |    0.287M              |    27.525M |
|  enc_embedding                                    |  5.632K                |  18.432K   |
|   enc_embedding.value_embedding.tokenConv         |   0.768K               |   18.432K  |
|    enc_embedding.value_embedding.tokenConv.weight |    (64, 4, 3)          |            |
|   enc_embedding.temporal_embedding                |   4.864K               |            |
|    enc_embedding.temporal_embedding.hour_embed    |    1.536K              |            |
|    enc_embedding.temporal_embedding.weekday_embed |    0.448K              |            |
|    enc_embedding.temporal_embedding.day_embed     |    2.048K              |            |
|    enc_embedding.temporal_embedding.month_embed   |    0.832K              |            |
|  layer_norm                                       |  0.128K                |  46.08K    |
|   layer_norm.weight                               |   (64,)                |            |
|   layer_norm.bias                                 |   (64,)                |            |
|  predict_linear                                   |  1.2K                  |  73.728K   |
|   predict_linear.weight                           |   (48, 24)             |            |
|   predict_linear.bias                             |   (48,)                |            |
|  projection                                       |  0.26K                 |  12.288K   |
|   projection.weight                               |   (4, 64)              |            |
|   projection.bias                                 |   (4,)                 |            |
Epoch 1 | Loss : 0.569655 | Time : 4.6440
Epoch 1 | Val Loss : 0.480928 | Time : 0.4823
Best model saved with loss 0.480928 at epoch 1
Epoch 2 | Loss : 0.453479 | Time : 3.2626
Epoch 2 | Val Loss : 0.401078 | Time : 0.4662
Best model saved with loss 0.401078 at epoch 2
Epoch 3 | Loss : 0.353306 | Time : 3.2355
Epoch 3 | Val Loss : 0.308829 | Time : 0.4569
Best model saved with loss 0.308829 at epoch 3
Epoch 4 | Loss : 0.322029 | Time : 3.2502
Epoch 4 | Val Loss : 0.295553 | Time : 0.4615
Best model saved with loss 0.295553 at epoch 4
Epoch 5 | Loss : 0.309017 | Time : 3.3278
Epoch 5 | Val Loss : 0.287386 | Time : 0.4547
Best model saved with loss 0.287386 at epoch 5
Epoch 6 | Loss : 0.302487 | Time : 3.3003
Epoch 6 | Val Loss : 0.289081 | Time : 0.4613
Epoch 7 | Loss : 0.294367 | Time : 3.2136
Epoch 7 | Val Loss : 0.284688 | Time : 0.4561
Best model saved with loss 0.284688 at epoch 7
Epoch 8 | Loss : 0.287790 | Time : 3.2085
Epoch 8 | Val Loss : 0.283884 | Time : 0.4576
Best model saved with loss 0.283884 at epoch 8
Epoch 9 | Loss : 0.284845 | Time : 3.2131
Epoch 9 | Val Loss : 0.285454 | Time : 0.4496
Epoch 10 | Loss : 0.279119 | Time : 3.2035
Epoch 10 | Val Loss : 0.291208 | Time : 0.4509
Epoch 11 | Loss : 0.274703 | Time : 3.1962
Epoch 11 | Val Loss : 0.288641 | Time : 0.4471
Epoch 12 | Loss : 0.272326 | Time : 3.1972
Epoch 12 | Val Loss : 0.291194 | Time : 0.4462
Epoch 13 | Loss : 0.267261 | Time : 3.2167
