| module                                            | #parameters or shape   | #flops     |
|:--------------------------------------------------|:-----------------------|:-----------|
| model                                             | 1.73M                  | 0.165G     |
|  model                                            |  1.722M                |  0.165G    |
|   model.0.conv                                    |   0.574M               |   55.05M   |
|    model.0.conv.0.kernels                         |    0.287M              |    27.525M |
|    model.0.conv.2.kernels                         |    0.287M              |    27.525M |
|   model.1.conv                                    |   0.574M               |   55.05M   |
|    model.1.conv.0.kernels                         |    0.287M              |    27.525M |
|    model.1.conv.2.kernels                         |    0.287M              |    27.525M |
|   model.2.conv                                    |   0.574M               |   55.05M   |
|    model.2.conv.0.kernels                         |    0.287M              |    27.525M |
|    model.2.conv.2.kernels                         |    0.287M              |    27.525M |
|  enc_embedding                                    |  5.824K                |  23.04K    |
|   enc_embedding.value_embedding.tokenConv         |   0.96K                |   23.04K   |
|    enc_embedding.value_embedding.tokenConv.weight |    (64, 5, 3)          |            |
|   enc_embedding.temporal_embedding                |   4.864K               |            |
|    enc_embedding.temporal_embedding.hour_embed    |    1.536K              |            |
|    enc_embedding.temporal_embedding.weekday_embed |    0.448K              |            |
|    enc_embedding.temporal_embedding.day_embed     |    2.048K              |            |
|    enc_embedding.temporal_embedding.month_embed   |    0.832K              |            |
|  layer_norm                                       |  0.128K                |  46.08K    |
|   layer_norm.weight                               |   (64,)                |            |
|   layer_norm.bias                                 |   (64,)                |            |
|  predict_linear                                   |  1.2K                  |  73.728K   |
|   predict_linear.weight                           |   (48, 24)             |            |
|   predict_linear.bias                             |   (48,)                |            |
|  projection                                       |  0.325K                |  15.36K    |
|   projection.weight                               |   (5, 64)              |            |
|   projection.bias                                 |   (5,)                 |            |
Epoch 1 | Loss : 0.541786 | Time : 4.2883
Epoch 1 | Val Loss : 0.424967 | Time : 0.4099
Best model saved with loss 0.424967 at epoch 1
Epoch 2 | Loss : 0.423426 | Time : 2.9054
Epoch 2 | Val Loss : 0.362886 | Time : 0.3952
Best model saved with loss 0.362886 at epoch 2
Epoch 3 | Loss : 0.324897 | Time : 2.9076
Epoch 3 | Val Loss : 0.270159 | Time : 0.3944
Best model saved with loss 0.270159 at epoch 3
Epoch 4 | Loss : 0.284714 | Time : 2.8725
Epoch 4 | Val Loss : 0.252234 | Time : 0.3962
Best model saved with loss 0.252234 at epoch 4
Epoch 5 | Loss : 0.272445 | Time : 2.8667
Epoch 5 | Val Loss : 0.248286 | Time : 0.3931
Best model saved with loss 0.248286 at epoch 5
Epoch 6 | Loss : 0.265288 | Time : 2.8723
Epoch 6 | Val Loss : 0.238650 | Time : 0.4013
Best model saved with loss 0.238650 at epoch 6
Epoch 7 | Loss : 0.256764 | Time : 2.8853
Epoch 7 | Val Loss : 0.233229 | Time : 0.3950
Best model saved with loss 0.233229 at epoch 7
Epoch 8 | Loss : 0.249983 | Time : 2.8610
Epoch 8 | Val Loss : 0.228978 | Time : 0.3917
Best model saved with loss 0.228978 at epoch 8
Epoch 9 | Loss : 0.242646 | Time : 2.8646
Epoch 9 | Val Loss : 0.225309 | Time : 0.3952
Best model saved with loss 0.225309 at epoch 9
Epoch 10 | Loss : 0.236813 | Time : 2.8614
Epoch 10 | Val Loss : 0.228931 | Time : 0.3946
Epoch 11 | Loss : 0.231973 | Time : 2.8527
Epoch 11 | Val Loss : 0.225653 | Time : 0.3937
Epoch 12 | Loss : 0.224461 | Time : 2.8586
Epoch 12 | Val Loss : 0.227688 | Time : 0.3951
